dataset,step,label,n_episodes,episode,seed,success,progress_pct,stage_reached,stage_index,failure_mode,ever_reached,ever_grasped,ever_lifted,ever_hovered,r_reach_max,r_grasp_max,r_lift_max,r_hover_max,max_staged_reward,init_gripper_to_can,min_gripper_to_can,reach_closure_frac,init_can_to_bin_xy,min_can_to_bin_xy,bin_closure_frac,max_can_height_gain,max_can_displacement,can_fell_off,steps,step_first_reach,step_first_grasp,step_first_lift,step_first_hover,step_first_success,eef_path_length,eef_net_displacement,path_efficiency,action_abs_mean,action_abs_max,action_saturation_frac,action_jerk_mean,gripper_cmd_mean,gripper_closed_frac,gripper_switches,best_shaped_reward
mh,1000,k1_mh_1000,30,24,100024,False,0.84,none,0,never_reached_cube,False,False,False,False,0.0279,0.0,0.0,0.0,0.0279,0.2258,0.2128,0.0574,,,,0.0,0.0127,False,150,,,,,,0.7937,0.2923,0.3683,0.2693,1.0,0.0876,0.2976,-0.3116,0.3533,53,0.0124
mh,1000,k1_mh_1000,30,25,100025,False,20.9,reach,1,reached_but_no_grasp,True,False,False,False,0.6965,0.0,0.0,0.0,0.6965,0.2069,0.0313,0.8486,,,,0.0,0.0141,False,150,70,,,,,0.7421,0.2405,0.3241,0.2593,1.0,0.0829,0.2866,-0.4758,0.2067,37,0.3096
mh,1000,k1_mh_1000,30,26,100026,False,6.56,none,0,never_reached_cube,False,False,False,False,0.2188,0.0,0.0,0.0,0.2188,0.1984,0.1048,0.4716,,,,0.0,0.0127,False,150,,,,,,0.7289,0.3009,0.4129,0.2651,1.0,0.0905,0.287,-0.4956,0.26,49,0.0972
mh,1000,k1_mh_1000,30,27,100027,False,13.24,reach,1,reached_but_no_grasp,True,False,False,False,0.4414,0.0,0.0,0.0,0.4414,0.2147,0.0631,0.7062,,,,0.0,0.0326,False,150,47,,,,,0.7675,0.2204,0.2872,0.2652,1.0,0.0838,0.2862,-0.598,0.1533,46,0.1962
mh,1000,k1_mh_1000,30,28,100028,False,17.27,reach,1,reached_but_no_grasp,True,False,False,False,0.5756,0.0,0.0,0.0,0.5756,0.2292,0.0453,0.8023,,,,0.0,0.0127,False,150,65,,,,,0.8115,0.2351,0.2897,0.264,1.0,0.0876,0.2909,-0.5037,0.18,37,0.2558
mh,1000,k1_mh_1000,30,29,100029,False,22.19,reach,1,reached_but_no_grasp,True,False,False,False,0.7395,0.0,0.0,0.0,0.7395,0.2004,0.0267,0.867,,,,0.0,0.0127,False,150,43,,,,,0.78,0.2026,0.2597,0.2647,1.0,0.0733,0.3009,-0.2962,0.3333,48,0.3287
mh,250,k1_mh_250,30,0,100000,False,12.07,reach,1,reached_but_no_grasp,True,False,False,False,0.4022,0.0,0.0,0.0,0.4022,0.203,0.069,0.6602,,,,0.0,0.0127,False,150,41,,,,,0.7829,0.2076,0.2652,0.2658,1.0,0.0848,0.3052,-0.2328,0.3867,55,0.1788
mh,250,k1_mh_250,30,1,100001,False,11.97,reach,1,reached_but_no_grasp,True,False,False,False,0.3991,0.0,0.0,0.0,0.3991,0.1951,0.0694,0.644,,,,0.0,0.0127,False,150,47,,,,,0.8189,0.2967,0.3624,0.2676,1.0,0.0905,0.2956,-0.1283,0.46,52,0.1774
mh,250,k1_mh_250,30,2,100002,False,10.77,reach,1,reached_but_no_grasp,True,False,False,False,0.3588,0.0,0.0,0.0,0.3588,0.198,0.076,0.616,,,,0.0,0.0127,False,150,43,,,,,0.7885,0.2481,0.3146,0.2695,1.0,0.081,0.327,-0.1681,0.4133,71,0.1595
mh,250,k1_mh_250,30,3,100003,False,12.14,reach,1,reached_but_no_grasp,True,False,False,False,0.4047,0.0,0.0,0.0,0.4047,0.2195,0.0686,0.6875,,,,0.0,0.0702,False,150,48,,,,,0.8131,0.3079,0.3787,0.2592,1.0,0.0676,0.2868,-0.3283,0.3467,56,0.1799
